time;V(Net-_Q1-C_);
0.30028;4.80276;
0.30128;4.80276;
0.30228;4.80277;
0.30328;4.80278;
0.30428;4.80279;
0.30528;4.8028;
0.30628;4.80281;
0.30728;4.80281;
0.30828;4.80282;
0.30928;4.80283;
0.31028;4.80284;
0.31128;4.80284;
0.31228;4.80285;
0.31328;4.80286;
0.31428;4.80286;
0.31528;4.80287;
0.31628;4.80288;
0.31728;4.80288;
0.31828;4.80289;
0.31928;4.80289;
0.32028;4.8029;
0.32128;4.8029;
0.32228;4.80291;
0.32328;4.80291;
0.32428;4.80292;
0.32528;4.80292;
0.32628;4.80292;
0.32728;4.80293;
0.32828;4.80293;
0.32928;4.80293;
0.33028;4.80293;
0.33128;4.80294;
0.33228;4.80294;
0.33328;4.80294;
0.33428;4.80294;
0.33528;4.80294;
0.33628;4.80294;
0.33728;4.80294;
0.33828;4.80294;
0.33928;4.80293;
0.34028;4.80293;
0.34128;4.80293;
0.34228;4.80293;
0.34328;4.80292;
0.34428;4.80292;
0.34528;4.80291;
0.34628;4.8029;
0.34728;4.8029;
0.34828;4.80289;
0.34928;4.80288;
0.35028;4.80287;
0.35128;4.80286;
0.35228;4.80285;
0.35328;4.80284;
0.35428;4.80283;
0.35528;4.80282;
0.35628;4.8028;
0.35728;4.80279;
0.35828;4.80277;
0.35928;4.80275;
0.36028;4.80273;
0.36128;4.80271;
0.36228;4.80269;
0.36328;4.80267;
0.36428;4.80265;
0.36528;4.80262;
0.36628;4.80259;
0.36728;4.80257;
0.36828;4.80254;
0.36928;4.80251;
0.37028;4.80247;
0.37128;4.80244;
0.37228;4.8024;
0.37328;4.80236;
0.37428;4.80232;
0.37528;4.80228;
0.37628;4.80224;
0.37728;4.80219;
0.37828;4.80214;
0.37928;4.80209;
0.38028;4.80204;
0.38128;4.80198;
0.38228;4.80192;
0.38328;4.80186;
0.38428;4.8018;
0.38528;4.80173;
0.38628;4.80166;
0.38728;4.80159;
0.38828;4.80151;
0.38928;4.80143;
0.39028;4.80135;
0.39128;4.80126;
0.39228;4.80117;
0.39328;4.80107;
0.39428;4.80097;
0.39528;4.80087;
0.39628;4.80076;
0.39728;4.80065;
0.39828;4.80053;
0.39928;4.80041;
0.40028;4.80028;
0.40128;4.80015;
0.40228;4.80001;
0.40328;4.79987;
0.40428;4.79972;
0.40528;4.79956;
0.40628;4.7994;
0.40728;4.79923;
0.40828;4.79905;
0.40928;4.79887;
0.41028;4.79868;
0.41128;4.79848;
0.41228;4.79827;
0.41328;4.79806;
0.41428;4.79783;
0.41528;4.7976;
0.41628;4.79735;
0.41728;4.7971;
0.41828;4.79684;
0.41928;4.79657;
0.42028;4.79628;
0.42128;4.79599;
0.42228;4.79568;
0.42328;4.79536;
0.42428;4.79503;
0.42528;4.79469;
0.42628;4.79433;
0.42728;4.79395;
0.42828;4.79357;
0.42928;4.79317;
0.43028;4.79275;
0.43128;4.79231;
0.43228;4.79186;
0.43328;4.79139;
0.43428;4.79091;
0.43528;4.7904;
0.43628;4.78988;
0.43728;4.78933;
0.43828;4.78876;
0.43928;4.78818;
0.44028;4.78757;
0.44128;4.78693;
0.44228;4.78627;
0.44328;4.78559;
0.44428;4.78488;
0.44528;4.78414;
0.44628;4.78338;
0.44728;4.78259;
0.44828;4.78176;
0.44928;4.78091;
0.45028;4.78002;
0.45128;4.7791;
0.45228;4.77815;
0.45328;4.77716;
0.45428;4.77613;
0.45528;4.77507;
0.45628;4.77396;
0.45728;4.77282;
0.45828;4.77163;
0.45928;4.7704;
0.46028;4.76912;
0.46128;4.7678;
0.46228;4.76643;
0.46328;4.76501;
0.46428;4.76353;
0.46528;4.76201;
0.46628;4.76042;
0.46728;4.75878;
0.46828;4.75709;
0.46928;4.75533;
0.47028;4.75351;
0.47128;4.75162;
0.47228;4.74967;
0.47328;4.74765;
0.47428;4.74556;
0.47528;4.74339;
0.47628;4.74115;
0.47728;4.73883;
0.47828;4.73643;
0.47928;4.73395;
0.48028;4.73139;
0.48128;4.72873;
0.48228;4.72599;
0.48328;4.72315;
0.48428;4.72022;
0.48528;4.71719;
0.48628;4.71406;
0.48728;4.71083;
0.48828;4.70749;
0.48928;4.70404;
0.49028;4.70048;
0.49128;4.6968;
0.49228;4.69301;
0.49328;4.6891;
0.49428;4.68506;
0.49528;4.68089;
0.49628;4.6766;
0.49728;4.67217;
0.49828;4.6676;
0.49928;4.6629;
0.50028;4.65805;
0.50128;4.65306;
0.50228;4.64792;
0.50328;4.64263;
0.50428;4.63718;
0.50528;4.63157;
0.50628;4.62581;
0.50728;4.61988;
0.50828;4.61378;
0.50928;4.60751;
0.51028;4.60107;
0.51128;4.59445;
0.51228;4.58765;
0.51328;4.58067;
0.51428;4.5735;
0.51528;4.56615;
0.51628;4.5586;
0.51728;4.55087;
0.51828;4.54293;
0.51928;4.5348;
0.52028;4.52646;
0.52128;4.51792;
0.52228;4.50918;
0.52328;4.50023;
0.52428;4.49106;
0.52528;4.48169;
0.52628;4.4721;
0.52728;4.46229;
0.52828;4.45227;
0.52928;4.44202;
0.53028;4.43156;
0.53128;4.42087;
0.53228;4.40995;
0.53328;4.39881;
0.53428;4.38744;
0.53528;4.37585;
0.53628;4.36402;
0.53728;4.35197;
0.53828;4.33968;
0.53928;4.32717;
0.54028;4.31442;
0.54128;4.30144;
0.54228;4.28822;
0.54328;4.27477;
0.54428;4.26109;
0.54528;4.24718;
0.54628;4.23303;
0.54728;4.21865;
0.54828;4.20404;
0.54928;4.1892;
0.55028;4.17412;
0.55128;4.15881;
0.55228;4.14328;
0.55328;4.12751;
0.55428;4.11151;
0.55528;4.09529;
0.55628;4.07884;
0.55728;4.06216;
0.55828;4.04525;
0.55928;4.02813;
0.56028;4.01078;
0.56128;3.99321;
0.56228;3.97542;
0.56328;3.95741;
0.56428;3.93918;
0.56528;3.92074;
0.56628;3.90209;
0.56728;3.88322;
0.56828;3.86414;
0.56928;3.84486;
0.57028;3.82536;
0.57128;3.80566;
0.57228;3.78576;
0.57328;3.76566;
0.57428;3.74536;
0.57528;3.72486;
0.57628;3.70416;
0.57728;3.68327;
0.57828;3.66219;
0.57928;3.64092;
0.58028;3.61946;
0.58128;3.59781;
0.58228;3.57598;
0.58328;3.55397;
0.58428;3.53178;
0.58528;3.50941;
0.58628;3.48687;
0.58728;3.46415;
0.58828;3.44126;
0.58928;3.4182;
0.59028;3.39497;
0.59128;3.37158;
0.59228;3.34802;
0.59328;3.3243;
0.59428;3.30042;
0.59528;3.27639;
0.59628;3.25219;
0.59728;3.22785;
0.59828;3.20335;
0.59928;3.1787;
0.60028;3.15391;
0.60128;3.12896;
0.60228;3.10388;
0.60328;3.07865;
0.60428;3.05328;
0.60528;3.02777;
0.60628;3.00213;
0.60728;2.97635;
0.60828;2.95044;
0.60928;2.92439;
0.61028;2.89822;
0.61128;2.87191;
0.61228;2.84549;
0.61328;2.81893;
0.61428;2.79226;
0.61528;2.76546;
0.61628;2.73854;
0.61728;2.71151;
0.61828;2.68436;
0.61928;2.65709;
0.62028;2.62971;
0.62128;2.60222;
0.62228;2.57462;
0.62328;2.54691;
0.62428;2.5191;
0.62528;2.49118;
0.62628;2.46315;
0.62728;2.43502;
0.62828;2.40679;
0.62928;2.37846;
0.63028;2.35003;
0.63128;2.3215;
0.63228;2.29288;
0.63328;2.26417;
0.63428;2.23536;
0.63528;2.20645;
0.63628;2.17746;
0.63728;2.14838;
0.63828;2.11921;
0.63928;2.08995;
0.64028;2.06061;
0.64128;2.03118;
0.64228;2.00167;
0.64328;1.97207;
0.64428;1.9424;
0.64528;1.91264;
0.64628;1.88281;
0.64728;1.85289;
0.64828;1.82291;
0.64928;1.79284;
0.65028;1.7627;
0.65128;1.73249;
0.65228;1.7022;
0.65328;1.67184;
0.65428;1.64141;
0.65528;1.61091;
0.65628;1.58034;
0.65728;1.54971;
0.65828;1.51901;
0.65928;1.48824;
0.66028;1.4574;
0.66128;1.4265;
0.66228;1.39554;
0.66328;1.36452;
0.66428;1.33343;
0.66528;1.30228;
0.66628;1.27107;
0.66728;1.23981;
0.66828;1.20848;
0.66928;1.1771;
0.67028;1.14566;
0.67128;1.11416;
0.67228;1.08261;
0.67328;1.051;
0.67428;1.01934;
0.67528;0.987625;
0.67628;0.955859;
0.67728;0.92404;
0.67828;0.89217;
0.67928;0.86025;
0.68028;0.82828;
0.68128;0.796261;
0.68228;0.764193;
0.68328;0.732078;
0.68428;0.699915;
0.68528;0.667706;
0.68628;0.635451;
0.68728;0.60315;
0.68828;0.570805;
0.68928;0.538415;
0.69028;0.505982;
0.69128;0.473506;
0.69228;0.44099;
0.69328;0.408436;
0.69428;0.375859;
0.69528;0.343302;
0.69628;0.310922;
0.69728;0.279227;
0.69828;0.249606;
0.69928;0.224522;
0.70028;0.205467;
0.70128;0.191608;
0.70228;0.181313;
0.70328;0.173349;
0.70428;0.166951;
0.70528;0.161648;
0.70628;0.157143;
0.70728;0.153239;
0.70828;0.1498;
0.70928;0.146739;
0.71028;0.14398;
0.71128;0.141471;
0.71228;0.139172;
0.71328;0.137053;
0.71428;0.135088;
0.71528;0.133256;
0.71628;0.131542;
0.71728;0.129932;
0.71828;0.128414;
0.71928;0.126978;
0.72028;0.125617;
0.72128;0.124323;
0.72228;0.123089;
0.72328;0.121912;
0.72428;0.120786;
0.72528;0.119706;
0.72628;0.11867;
0.72728;0.117673;
0.72828;0.116714;
0.72928;0.115789;
0.73028;0.114897;
0.73128;0.114035;
0.73228;0.1132;
0.73328;0.112393;
0.73428;0.11161;
0.73528;0.11085;
0.73628;0.110113;
0.73728;0.109396;
0.73828;0.108699;
0.73928;0.108021;
0.74028;0.107361;
0.74128;0.106718;
0.74228;0.106091;
0.74328;0.105479;
0.74428;0.104881;
0.74528;0.104298;
0.74628;0.103728;
0.74728;0.10317;
0.74828;0.102625;
0.74928;0.102092;
0.75028;0.10157;
0.75128;0.101059;
0.75228;0.100558;
0.75328;0.100066;
0.75428;0.099585;
0.75528;0.0991128;
0.75628;0.0986494;
0.75728;0.0981947;
0.75828;0.0977482;
0.75928;0.0973097;
0.76028;0.0968789;
0.76128;0.0964556;
0.76228;0.0960396;
0.76328;0.0956304;
0.76428;0.0952281;
0.76528;0.0948323;
0.76628;0.0944429;
0.76728;0.0940596;
0.76828;0.0936823;
0.76928;0.0933107;
