time;V(Net-_Q1-C_);
0.30028;2.95778;
0.30128;2.95779;
0.30228;2.95779;
0.30328;2.9578;
0.30428;2.95781;
0.30528;2.95781;
0.30628;2.95782;
0.30728;2.95783;
0.30828;2.95783;
0.30928;2.95784;
0.31028;2.95785;
0.31128;2.95785;
0.31228;2.95786;
0.31328;2.95787;
0.31428;2.95787;
0.31528;2.95788;
0.31628;2.95789;
0.31728;2.95789;
0.31828;2.9579;
0.31928;2.9579;
0.32028;2.95791;
0.32128;2.95792;
0.32228;2.95792;
0.32328;2.95793;
0.32428;2.95793;
0.32528;2.95794;
0.32628;2.95795;
0.32728;2.95795;
0.32828;2.95796;
0.32928;2.95796;
0.33028;2.95797;
0.33128;2.95797;
0.33228;2.95798;
0.33328;2.95798;
0.33428;2.95799;
0.33528;2.95799;
0.33628;2.958;
0.33728;2.958;
0.33828;2.95801;
0.33928;2.95801;
0.34028;2.95802;
0.34128;2.95802;
0.34228;2.95803;
0.34328;2.95803;
0.34428;2.95804;
0.34528;2.95804;
0.34628;2.95804;
0.34728;2.95805;
0.34828;2.95805;
0.34928;2.95806;
0.35028;2.95806;
0.35128;2.95806;
0.35228;2.95807;
0.35328;2.95807;
0.35428;2.95807;
0.35528;2.95807;
0.35628;2.95808;
0.35728;2.95808;
0.35828;2.95808;
0.35928;2.95808;
0.36028;2.95809;
0.36128;2.95809;
0.36228;2.95809;
0.36328;2.95809;
0.36428;2.95809;
0.36528;2.95809;
0.36628;2.95809;
0.36728;2.95809;
0.36828;2.95809;
0.36928;2.95809;
0.37028;2.95809;
0.37128;2.95809;
0.37228;2.95809;
0.37328;2.95808;
0.37428;2.95808;
0.37528;2.95808;
0.37628;2.95808;
0.37728;2.95807;
0.37828;2.95807;
0.37928;2.95806;
0.38028;2.95806;
0.38128;2.95805;
0.38228;2.95805;
0.38328;2.95804;
0.38428;2.95804;
0.38528;2.95803;
0.38628;2.95802;
0.38728;2.95801;
0.38828;2.958;
0.38928;2.95799;
0.39028;2.95798;
0.39128;2.95797;
0.39228;2.95796;
0.39328;2.95795;
0.39428;2.95794;
0.39528;2.95792;
0.39628;2.95791;
0.39728;2.95789;
0.39828;2.95787;
0.39928;2.95786;
0.40028;2.95784;
0.40128;2.95782;
0.40228;2.9578;
0.40328;2.95778;
0.40428;2.95775;
0.40528;2.95773;
0.40628;2.95771;
0.40728;2.95768;
0.40828;2.95765;
0.40928;2.95762;
0.41028;2.95759;
0.41128;2.95756;
0.41228;2.95753;
0.41328;2.95749;
0.41428;2.95746;
0.41528;2.95742;
0.41628;2.95738;
0.41728;2.95734;
0.41828;2.95729;
0.41928;2.95725;
0.42028;2.9572;
0.42128;2.95715;
0.42228;2.9571;
0.42328;2.95704;
0.42428;2.95699;
0.42528;2.95693;
0.42628;2.95687;
0.42728;2.9568;
0.42828;2.95673;
0.42928;2.95666;
0.43028;2.95659;
0.43128;2.95651;
0.43228;2.95644;
0.43328;2.95635;
0.43428;2.95627;
0.43528;2.95618;
0.43628;2.95608;
0.43728;2.95599;
0.43828;2.95588;
0.43928;2.95578;
0.44028;2.95567;
0.44128;2.95555;
0.44228;2.95544;
0.44328;2.95531;
