time;V(Net-_Q1-C_);
0.55328;1.06542;
0.55428;1.06454;
0.55528;1.06362;
0.55628;1.06267;
0.55728;1.06168;
0.55828;1.06066;
0.55928;1.05961;
0.56028;1.05851;
0.56128;1.05738;
0.56228;1.05622;
0.56328;1.05501;
0.56428;1.05376;
0.56528;1.05246;
0.56628;1.05113;
0.56728;1.04974;
0.56828;1.04831;
0.56928;1.04684;
0.57028;1.04531;
0.57128;1.04374;
0.57228;1.04211;
0.57328;1.04043;
0.57428;1.03869;
0.57528;1.0369;
0.57628;1.03505;
0.57728;1.03314;
0.57828;1.03117;
0.57928;1.02914;
0.58028;1.02704;
0.58128;1.02488;
0.58228;1.02266;
0.58328;1.02036;
0.58428;1.018;
0.58528;1.01556;
0.58628;1.01305;
0.58728;1.01047;
0.58828;1.00781;
0.58928;1.00507;
0.59028;1.00226;
0.59128;0.999362;
0.59228;0.996383;
0.59328;0.993321;
0.59428;0.990173;
0.59528;0.986939;
0.59628;0.983617;
0.59728;0.980205;
0.59828;0.976702;
0.59928;0.973106;
0.60028;0.969417;
0.60128;0.965632;
0.60228;0.961751;
0.60328;0.957772;
0.60428;0.953694;
0.60528;0.949516;
0.60628;0.945236;
0.60728;0.940853;
0.60828;0.936367;
0.60928;0.931775;
0.61028;0.927078;
0.61128;0.922274;
0.61228;0.917362;
0.61328;0.912341;
0.61428;0.907211;
0.61528;0.901971;
0.61628;0.89662;
0.61728;0.891157;
0.61828;0.885581;
0.61928;0.879893;
0.62028;0.874092;
0.62128;0.868176;
0.62228;0.862147;
0.62328;0.856002;
0.62428;0.849743;
0.62528;0.843369;
0.62628;0.836879;
0.62728;0.830274;
0.62828;0.823553;
0.62928;0.816717;
0.63028;0.809765;
0.63128;0.802698;
0.63228;0.795515;
0.63328;0.788217;
0.63428;0.780804;
0.63528;0.773276;
0.63628;0.765634;
0.63728;0.757878;
0.63828;0.750008;
0.63928;0.742025;
0.64028;0.733929;
0.64128;0.725721;
0.64228;0.717401;
0.64328;0.708969;
0.64428;0.700428;
0.64528;0.691776;
0.64628;0.683016;
0.64728;0.674147;
0.64828;0.66517;
0.64928;0.656086;
0.65028;0.646896;
0.65128;0.6376;
0.65228;0.6282;
0.65328;0.618697;
0.65428;0.60909;
0.65528;0.599382;
0.65628;0.589573;
0.65728;0.579663;
0.65828;0.569655;
0.65928;0.559548;
0.66028;0.549345;
0.66128;0.539044;
0.66228;0.528649;
0.66328;0.51816;
0.66428;0.507577;
0.66528;0.496902;
0.66628;0.486135;
0.66728;0.475279;
0.66828;0.464333;
0.66928;0.453299;
0.67028;0.442178;
0.67128;0.430971;
0.67228;0.41968;
0.67328;0.408304;
0.67428;0.396846;
0.67528;0.385306;
0.67628;0.373687;
0.67728;0.36199;
0.67828;0.350217;
0.67928;0.338373;
0.68028;0.326461;
0.68128;0.314489;
0.68228;0.302467;
0.68328;0.290414;
0.68428;0.278356;
0.68528;0.266336;
0.68628;0.254419;
0.68728;0.242701;
0.68828;0.231314;
0.68928;0.220422;
0.69028;0.2102;
0.69128;0.200801;
0.69228;0.192315;
0.69328;0.184768;
0.69428;0.178095;
0.69528;0.172214;
0.69628;0.167022;
0.69728;0.162419;
0.69828;0.15831;
0.69928;0.154627;
0.70028;0.151301;
0.70128;0.148277;
0.70228;0.145513;
0.70328;0.142973;
0.70428;0.140627;
0.70528;0.13845;
0.70628;0.136421;
0.70728;0.134524;
0.70828;0.132744;
0.70928;0.131068;
0.71028;0.129486;
0.71128;0.127987;
0.71228;0.126566;
0.71328;0.125214;
0.71428;0.123925;
0.71528;0.122694;
0.71628;0.121517;
0.71728;0.120389;
0.71828;0.119307;
0.71928;0.118266;
0.72028;0.117265;
0.72128;0.1163;
0.72228;0.11537;
0.72328;0.114471;
0.72428;0.113601;
0.72528;0.11276;
0.72628;0.111946;
0.72728;0.111156;
0.72828;0.110389;
0.72928;0.109645;
0.73028;0.108921;
0.73128;0.108217;
0.73228;0.107533;
0.73328;0.106866;
0.73428;0.106216;
0.73528;0.105582;
0.73628;0.104964;
0.73728;0.104361;
0.73828;0.103771;
0.73928;0.103196;
0.74028;0.102633;
0.74128;0.102082;
0.74228;0.101544;
0.74328;0.101016;
0.74428;0.1005;
0.74528;0.0999941;
0.74628;0.0994984;
0.74728;0.0990124;
0.74828;0.0985357;
0.74928;0.0980681;
0.75028;0.0976093;
0.75128;0.0971588;
0.75228;0.0967165;
0.75328;0.0962819;
0.75428;0.095855;
0.75528;0.0954354;
0.75628;0.0950229;
0.75728;0.0946173;
0.75828;0.0942184;
0.75928;0.0938259;
0.76028;0.0934396;
0.76128;0.0930594;
0.76228;0.0926852;
0.76328;0.0923166;
0.76428;0.0919536;
0.76528;0.091596;
0.76628;0.0912436;
0.76728;0.0908964;
0.76828;0.0905541;
0.76928;0.0902166;
0.77028;0.0898839;
0.77128;0.0895557;
0.77228;0.089232;
0.77328;0.0889126;
0.77428;0.0885975;
0.77528;0.0882865;
0.77628;0.0879795;
0.77728;0.0876765;
0.77828;0.0873773;
0.77928;0.0870819;
0.78028;0.0867901;
0.78128;0.0865019;
0.78228;0.0862172;
0.78328;0.0859359;
0.78428;0.085658;
0.78528;0.0853833;
0.78628;0.0851118;
0.78728;0.0848434;
0.78828;0.0845781;
0.78928;0.0843157;
0.79028;0.0840563;
0.79128;0.0837998;
0.79228;0.0835461;
0.79328;0.0832951;
0.79428;0.0830468;
0.79528;0.0828011;
0.79628;0.0825581;
0.79728;0.0823176;
0.79828;0.0820795;
0.79928;0.0818439;
0.80028;0.0816107;
0.80128;0.0813799;
0.80228;0.0811513;
0.80328;0.080925;
0.80428;0.0807009;
0.80528;0.080479;
0.80628;0.0802593;
0.80728;0.0800416;
0.80828;0.079826;
0.80928;0.0796124;
0.81028;0.0794009;
0.81128;0.0791912;
0.81228;0.0789836;
0.81328;0.0787777;
0.81428;0.0785738;
0.81528;0.0783717;
0.81628;0.0781713;
0.81728;0.0779728;
0.81828;0.077776;
0.81928;0.0775808;
0.82028;0.0773874;
0.82128;0.0771956;
0.82228;0.0770055;
0.82328;0.0768169;
0.82428;0.07663;
