time;V(/out);
0,59028;3,81003;
0,59128;3,78173;
0,59228;3,75329;
0,59328;3,72474;
0,59428;3,69605;
0,59528;3,66724;
0,59628;3,63831;
0,59728;3,60926;
0,59828;3,58009;
0,59928;3,55081;
0,60028;3,5214;
0,60128;3,49189;
0,60228;3,46226;
0,60328;3,43252;
0,60428;3,40267;
0,60528;3,37272;
0,60628;3,34265;
0,60728;3,31249;
0,60828;3,28221;
0,60928;3,25184;
0,61028;3,22137;
0,61128;3,19079;
0,61228;3,16012;
0,61328;3,12935;
0,61428;3,09849;
0,61528;3,06753;
0,61628;3,03648;
0,61728;3,00534;
0,61828;2,97411;
0,61928;2,94279;
0,62028;2,91138;
0,62128;2,87988;
0,62228;2,8483;
0,62328;2,81663;
0,62428;2,78488;
0,62528;2,75305;
0,62628;2,72114;
0,62728;2,68915;
0,62828;2,65708;
0,62928;2,62493;
0,63028;2,5927;
0,63128;2,5604;
0,63228;2,52803;
0,63328;2,49558;
0,63428;2,46305;
0,63528;2,43046;
0,63628;2,3978;
0,63728;2,36506;
0,63828;2,33226;
0,63928;2,29939;
0,64028;2,26645;
0,64128;2,23344;
0,64228;2,20037;
0,64328;2,16724;
0,64428;2,13404;
0,64528;2,10078;
0,64628;2,06746;
0,64728;2,03407;
0,64828;2,00063;
0,64928;1,96713;
0,65028;1,93357;
0,65128;1,89994;
0,65228;1,86627;
0,65328;1,83253;
0,65428;1,79874;
0,65528;1,7649;
0,65628;1,731;
0,65728;1,69705;
0,65828;1,66304;
0,65928;1,62898;
0,66028;1,59488;
0,66128;1,56072;
0,66228;1,52651;
0,66328;1,49225;
0,66428;1,45794;
0,66528;1,42358;
0,66628;1,38918;
0,66728;1,35472;
0,66828;1,32023;
0,66928;1,28568;
0,67028;1,25109;
0,67128;1,21646;
0,67228;1,18178;
0,67328;1,14706;
0,67428;1,1123;
0,67528;1,07749;
0,67628;1,04264;
0,67728;1,00775;
0,67828;0,972819;
0,67928;0,937848;
0,68028;0,902837;
0,68128;0,867786;
0,68228;0,832697;
0,68328;0,79757;
0,68428;0,762405;
0,68528;0,727203;
0,68628;0,691964;
0,68728;0,656688;
0,68828;0,621376;
0,68928;0,58603;
0,69028;0,550648;
0,69128;0,515232;
0,69228;0,479782;
0,69328;0,444299;
0,69428;0,40879;
0,69528;0,37327;
0,69628;0,33781;
0,69728;0,30267;
0,69828;0,268767;
0,69928;0,238482;
0,70028;0,214756;
0,70128;0,197833;
0,70228;0,185725;
0,70328;0,176665;
0,70428;0,169562;
0,70528;0,163781;
0,70628;0,158934;
0,70728;0,154779;
0,70828;0,15115;
0,70928;0,147933;
0,71028;0,145052;
0,71128;0,142444;
0,71228;0,140062;
0,71328;0,137873;
0,71428;0,135848;
0,71528;0,133965;
0,71628;0,132206;
0,71728;0,130556;
0,71828;0,129003;
0,71928;0,127537;
0,72028;0,126148;
0,72128;0,124829;
0,72228;0,123573;
0,72328;0,122375;
0,72428;0,12123;
0,72528;0,120133;
0,72628;0,119081;
0,72728;0,11807;
0,72828;0,117097;
0,72928;0,11616;
0,73028;0,115256;
0,73128;0,114383;
0,73228;0,113539;
0,73328;0,112722;
0,73428;0,11193;
0,73528;0,111162;
0,73628;0,110417;
0,73728;0,109693;
0,73828;0,108989;
0,73928;0,108304;
0,74028;0,107638;
0,74128;0,106989;
0,74228;0,106356;
0,74328;0,105738;
0,74428;0,105136;
0,74528;0,104547;
0,74628;0,103973;
0,74728;0,103411;
0,74828;0,102862;
0,74928;0,102324;
0,75028;0,101798;
0,75128;0,101283;
0,75228;0,100778;
0,75328;0,100284;
0,75428;0,0997988;
0,75528;0,0993234;
0,75628;0,0988569;
0,75728;0,0983992;
0,75828;0,0979498;
0,75928;0,0975086;
0,76028;0,097075;
0,76128;0,0966492;
0,76228;0,0962305;
0,76328;0,095819;
0,76428;0,0954143;
0,76528;0,0950162;
0,76628;0,0946245;
0,76728;0,0942391;
0,76828;0,0938596;
0,76928;0,0934861;
0,77028;0,0931182;
0,77128;0,0927559;
0,77228;0,0923989;
0,77328;0,0920471;
0,77428;0,0917004;
0,77528;0,0913587;
0,77628;0,0910217;
0,77728;0,0906894;
0,77828;0,0903616;
0,77928;0,0900383;
0,78028;0,0897193;
0,78128;0,0894045;
0,78228;0,0890938;
0,78328;0,0887871;
0,78428;0,0884843;
0,78528;0,0881853;
0,78628;0,08789;
0,78728;0,0875984;
0,78828;0,0873103;
0,78928;0,0870258;
0,79028;0,0867445;
0,79128;0,0864666;
0,79228;0,086192;
0,79328;0,0859205;
0,79428;0,0856521;
0,79528;0,0853867;
0,79628;0,0851243;
0,79728;0,0848648;
0,79828;0,0846081;
0,79928;0,0843543;
0,80028;0,0841032;
0,80128;0,0838547;
0,80228;0,0836089;
0,80328;0,0833656;
0,80428;0,0831248;
0,80528;0,0828866;
0,80628;0,0826507;
0,80728;0,0824172;
0,80828;0,0821861;
0,80928;0,0819572;
0,81028;0,0817306;
0,81128;0,0815062;
0,81228;0,0812839;
0,81328;0,0810638;
0,81428;0,0808457;
0,81528;0,0806298;
0,81628;0,0804158;
0,81728;0,0802038;
0,81828;0,0799937;
0,81928;0,0797856;
0,82028;0,0795793;
0,82128;0,0793749;
0,82228;0,0791723;
0,82328;0,0789715;
0,82428;0,0787724;
0,82528;0,0785751;
0,82628;0,0783794;
0,82728;0,0781855;
0,82828;0,0779931;
0,82928;0,0778024;
0,83028;0,0776133;
0,83128;0,0774258;
0,83228;0,0772398;
0,83328;0,0770553;
0,83428;0,0768723;
0,83528;0,0766909;
0,83628;0,0765108;
0,83728;0,0763322;
0,83828;0,076155;
0,83928;0,0759792;
0,84028;0,0758047;
0,84128;0,0756317;
0,84228;0,0754599;
0,84328;0,0752895;
0,84428;0,0751203;
0,84528;0,0749524;
0,84628;0,0747858;
0,84728;0,0746204;
0,84828;0,0744562;
0,84928;0,0742933;
0,85028;0,0741315;
0,85128;0,0739709;
0,85228;0,0738115;
0,85328;0,0736532;
0,85428;0,073496;
0,85528;0,07334;
0,85628;0,073185;
0,85728;0,0730312;
0,85828;0,0728783;
0,85928;0,0727266;
0,86028;0,0725759;
0,86128;0,0724262;
0,86228;0,0722775;
0,86328;0,0721299;
0,86428;0,0719832;
0,86528;0,0718375;
0,86628;0,0716928;
0,86728;0,0715491;
0,86828;0,0714062;
0,86928;0,0712643;
0,87028;0,0711234;
0,87128;0,0709833;
0,87228;0,0708441;
0,87328;0,0707059;
0,87428;0,0705685;
0,87528;0,0704319;
0,87628;0,0702963;
0,87728;0,0701614;
0,87828;0,0700275;
0,87928;0,0698943;
0,88028;0,069762;
0,88128;0,0696304;
0,88228;0,0694997;
0,88328;0,0693698;
0,88428;0,0692406;
0,88528;0,0691122;
0,88628;0,0689846;
0,88728;0,0688578;
0,88828;0,0687317;
0,88928;0,0686063;
0,89028;0,0684817;
0,89128;0,0683578;
0,89228;0,0682346;
0,89328;0,0681121;
0,89428;0,0679903;
0,89528;0,0678692;
0,89628;0,0677488;
0,89728;0,0676291;
0,89828;0,0675101;
0,89928;0,0673917;
0,9;0,0673069;
